车　次,到达方向,出发方向,到达时刻,出发时刻,股道
Z125,南昌下行,京九下行,,15:49,12
23014,F线,生米上行,,15:50,3
K875,生米下行,京九下行,15:30,15:55,11
27211,生米下行,京九下行,16:02,16:03,10
K492,京九上行,生米上行,15:48,16:10,1
K8721,梁家渡下行,南昌上行,,16:12,4
K8714,南昌下行,梁家渡上行,16:09,16:13,5
23018,F线,生米上行,16:03,16:18,3
K105,南昌下行,京九下行,,16:22,12
27213,生米下行,京九下行,,16:31,12
27215,生米下行,京九下行,,16:39,12
27244,F线,生米上行,,16:39,4
D6504,京九上行,南昌上行,,16:41,4
27246,F线,生米上行,,16:48,4
23011,生米下行,京九下行,,16:51,12
K8716,南昌下行,梁家渡上行,16:53,16:56,5
Z112,京九上行,南昌上行,16:50,16:57,1
23205/23216,梁家渡下行,生米上行,16:22,16:59,7
K445,南昌下行,京九下行,16:45,17:05,6
12071/11072,梁家渡下行,生米上行,16:32,17:10,8
K115,南昌下行,京九下行,17:05,17:11,3
K423/2,梁家渡下行,南昌上行,17:09,17:16,2
30069,生米下行,京九下行,17:07,17:20,12
K8726,京九上行,南昌上行,17:04,17:22,1
D6531,南昌下行,京九下行,,17:36,12
Z181,生米下行,京九下行,17:15,17:41,10
K2386,京九上行,生米上行,17:23,17:42,2
81111/2,梁家渡下行,南昌上行,16:58,17:50,9
K1619,南昌下行,京九下行,17:30,17:50,11
K667/6,梁家渡下行,生米上行,17:47,17:53,3
27217,生米下行,京九下行,,17:58,9
K8729,梁家渡下行,南昌上行,18:00,18:06,3
T8001,南昌下行,京九下行,,18:09,12
23002,F线,生米上行,,18:11,4
30052,F线,生米上行,,18:20,4
K1187/6,南昌下行,梁家渡上行,18:19,18:22,5
K799,南昌下行,京九下行,18:26,18:30,6
23004,F线,生米上行,,18:36,3
D6526,京九上行,南昌上行,,18:44,4
T171,南昌下行,京九下行,,18:50,12
K1235,南昌下行,京九下行,18:33,18:55,5
X8661,生米下行,京九下行,18:31,19:02,10
23013,生米下行,京九下行,18:52,19:09,12
K529/32,梁家渡下行,南昌上行,19:10,19:16,6
K1669/72,南昌下行,梁家渡上行,19:11,19:16,3
27219,生米下行,京九下行,19:03,19:17,8
K570,京九上行,生米上行,19:01,19:25,2
K788,京九上行,南昌上行,19:21,19:26,1
D6511,南昌下行,京九下行,,19:32,12
K572,京九上行,南昌上行,19:29,19:39,3
K678,京九上行,生米上行,19:37,19:43,2
86801,生米下行,京九下行,,19:42,9
X8790,F线,生米上行,19:42,19:50,1
K1185/8,梁家渡下行,南昌上行,,19:50,4
X8802,F线,生米上行,19:59,20:00,2
X9033/2,梁家渡下行,生米上行,19:22,20:07,8
K2385,生米下行,京九下行,19:52,20:09,11
X8794,F线,南昌上行,,20:17,4
K665/8,生米下行,梁家渡上行,19:58,20:18,10
K133,南昌下行,京九下行,20:01,20:19,6
23215/23206,生米下行,梁家渡上行,19:20,20:26,7
K793,梁家渡下行,京九下行,20:10,20:30,3
K8718,京九上行,南昌上行,20:23,20:31,1
K446,京九上行,生米上行,20:14,20:35,5
45002,F线,南昌上行,,20:39,4
K561,生米下行,京九下行,20:21,20:40,11
42082,F线,生米上行,20:30,20:43,2
X203,生米下行,京九下行,20:40,20:47,8
30054,F线,生米上行,,20:53,4
30071,生米下行,京九下行,20:14,20:55,12
D6510,京九上行,南昌上行,,20:57,4
Z182,京九上行,生米上行,20:49,21:10,3
K923,生米下行,京九下行,20:51,21:12,10
K288,南昌下行,梁家渡上行,,21:22,11
45012,F线,南昌上行,,21:24,4
K724,京九上行,生米上行,21:28,21:34,3
Z386,京九上行,生米上行,21:18,21:42,2
27202,F线,生米上行,,21:50,4
27204,F线,生米上行,,21:57,4
K1585/8,南昌下行,梁家渡上行,21:55,21:59,10
K638/5,京九上行,京九下行,21:41,22:00,1
K13/2,南昌下行,梁家渡上行,22:03,22:07,5
K106,京九上行,南昌上行,22:06,22:10,1
K272,京九上行,梁家渡上行,21:45,22:13,3
30056,F线,生米上行,22:13,22:16,2
K753/2,南昌下行,梁家渡上行,22:10,22:22,6
30058,F线,生米上行,22:24,22:28,3
D6512,京九上行,南昌上行,,22:31,4
45011,南昌下行,京九下行,,22:33,12
K470,京九上行,梁家渡上行,22:21,22:43,5
27206,F线,生米上行,22:38,22:43,4
K312,京九上行,南昌上行,22:40,22:43,3
45001,南昌下行,京九下行,,22:44,12
45003,南昌下行,京九下行,,22:51,12
41071,南昌下行,京九下行,,22:58,12
D6532,京九上行,南昌上行,,23:03,4
30060,F线,生米上行,,23:10,4
12073/11074,梁家渡下行,生米上行,22:48,23:20,8
K751/4,梁家渡下行,南昌上行,23:02,23:23,2
23006,F线,生米上行,,23:30,4
86802,F线,生米上行,,23:39,4
K924,京九上行,南昌上行,23:33,23:42,3
42084,F线,生米上行,23:23,23:45,9
